provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad
6,Buenos Aires,F,0 a 17,91
6,Buenos Aires,F,18 a 29,928
6,Buenos Aires,F,30 a 39,816
6,Buenos Aires,F,40 y mas,1240
6,Buenos Aires,M,0 a 17,380
6,Buenos Aires,M,18 a 29,1955
6,Buenos Aires,M,30 a 39,573
6,Buenos Aires,M,40 y mas,224
6,Buenos Aires,X,0 a 17,50
6,Buenos Aires,X,18 a 29,423
6,Buenos Aires,X,30 a 39,174
6,Buenos Aires,X,40 y mas,95
10,Catamarca,F,0 a 17,1
10,Catamarca,F,18 a 29,39
10,Catamarca,F,30 a 39,41
10,Catamarca,F,40 y mas,34
10,Catamarca,M,0 a 17,7
10,Catamarca,M,18 a 29,33
10,Catamarca,M,30 a 39,8
10,Catamarca,M,40 y mas,2
10,Catamarca,X,18 a 29,4
10,Catamarca,X,30 a 39,7
22,Chaco,F,18 a 29,62
22,Chaco,F,30 a 39,53
22,Chaco,F,40 y mas,44
22,Chaco,M,0 a 17,5
22,Chaco,M,18 a 29,48
22,Chaco,M,30 a 39,20
22,Chaco,M,40 y mas,4
22,Chaco,X,18 a 29,7
22,Chaco,X,30 a 39,3
26,Chubut,F,0 a 17,5
26,Chubut,F,18 a 29,28
26,Chubut,F,30 a 39,29
26,Chubut,F,40 y mas,50
26,Chubut,M,0 a 17,18
26,Chubut,M,18 a 29,89
26,Chubut,M,30 a 39,32
26,Chubut,M,40 y mas,3
26,Chubut,X,0 a 17,6
26,Chubut,X,18 a 29,29
26,Chubut,X,30 a 39,13
26,Chubut,X,40 y mas,4
99,Ciudad Autónoma de Buenos Aires,F,0 a 17,20
99,Ciudad Autónoma de Buenos Aires,F,18 a 29,252
99,Ciudad Autónoma de Buenos Aires,F,30 a 39,355
99,Ciudad Autónoma de Buenos Aires,F,40 y mas,511
99,Ciudad Autónoma de Buenos Aires,M,0 a 17,82
99,Ciudad Autónoma de Buenos Aires,M,18 a 29,524
99,Ciudad Autónoma de Buenos Aires,M,30 a 39,213
99,Ciudad Autónoma de Buenos Aires,M,40 y mas,70
99,Ciudad Autónoma de Buenos Aires,X,0 a 17,17
99,Ciudad Autónoma de Buenos Aires,X,18 a 29,168
99,Ciudad Autónoma de Buenos Aires,X,30 a 39,85
99,Ciudad Autónoma de Buenos Aires,X,40 y mas,41
14,Córdoba,F,0 a 17,13
14,Córdoba,F,18 a 29,195
14,Córdoba,F,30 a 39,268
14,Córdoba,F,40 y mas,373
14,Córdoba,M,0 a 17,41
14,Córdoba,M,18 a 29,319
14,Córdoba,M,30 a 39,141
14,Córdoba,M,40 y mas,45
14,Córdoba,X,0 a 17,4
14,Córdoba,X,18 a 29,46
14,Córdoba,X,30 a 39,33
14,Córdoba,X,40 y mas,11
18,Corrientes,F,0 a 17,3
18,Corrientes,F,18 a 29,57
18,Corrientes,F,30 a 39,82
18,Corrientes,F,40 y mas,60
18,Corrientes,M,0 a 17,8
18,Corrientes,M,18 a 29,39
18,Corrientes,M,30 a 39,24
18,Corrientes,M,40 y mas,7
18,Corrientes,X,0 a 17,2
18,Corrientes,X,18 a 29,4
18,Corrientes,X,30 a 39,1
18,Corrientes,X,40 y mas,4
30,Entre Ríos,F,0 a 17,8
30,Entre Ríos,F,18 a 29,72
30,Entre Ríos,F,30 a 39,114
30,Entre Ríos,F,40 y mas,108
30,Entre Ríos,M,0 a 17,14
30,Entre Ríos,M,18 a 29,112
30,Entre Ríos,M,30 a 39,21
30,Entre Ríos,M,40 y mas,10
30,Entre Ríos,X,0 a 17,1
30,Entre Ríos,X,18 a 29,21
30,Entre Ríos,X,30 a 39,9
30,Entre Ríos,X,40 y mas,5
34,Formosa,F,0 a 17,1
34,Formosa,F,18 a 29,48
34,Formosa,F,30 a 39,40
34,Formosa,F,40 y mas,21
34,Formosa,M,0 a 17,3
34,Formosa,M,18 a 29,20
34,Formosa,M,30 a 39,6
34,Formosa,M,40 y mas,6
34,Formosa,X,18 a 29,3
34,Formosa,X,40 y mas,1
38,Jujuy,F,0 a 17,4
38,Jujuy,F,18 a 29,68
