time,lat,lon,t
2025-05-22 00:00:00,-21.0,-55.0,16.35
2025-05-22 01:00:00,-21.0,-55.0,16.26
2025-05-22 02:00:00,-21.0,-55.0,15.88
2025-05-22 03:00:00,-21.0,-55.0,14.45
2025-05-22 04:00:00,-21.0,-55.0,14.65
2025-05-22 05:00:00,-21.0,-55.0,13.65
2025-05-22 06:00:00,-21.0,-55.0,12.309999
2025-05-22 07:00:00,-21.0,-55.0,12.309999
2025-05-22 08:00:00,-21.0,-55.0,12.82
2025-05-22 09:00:00,-21.0,-55.0,11.349999
2025-05-22 10:00:00,-21.0,-55.0,11.73
2025-05-22 11:00:00,-21.0,-55.0,16.91
2025-05-22 12:00:00,-21.0,-55.0,22.199999
2025-05-22 13:00:00,-21.0,-55.0,25.72
2025-05-22 14:00:00,-21.0,-55.0,28.38
2025-05-22 15:00:00,-21.0,-55.0,29.529999
2025-05-22 16:00:00,-21.0,-55.0,29.16
2025-05-22 17:00:00,-21.0,-55.0,28.96
